word,tag,p
aahed,VBN,0.0137524557956778
aalii,JJ,0.2180746561886051
aargh,NN,0.618860510805501
aarti,NN,0.618860510805501
abaca,NN,0.618860510805501
abaci,VBP,0.03143418467583497
aback,NN,0.618860510805501
abacs,NN,0.618860510805501
abaft,NN,0.618860510805501
abaka,NN,0.618860510805501
abamp,NN,0.618860510805501
aband,NN,0.618860510805501
abase,NN,0.618860510805501
abash,NN,0.618860510805501
abask,NN,0.618860510805501
abate,NN,0.618860510805501
abaya,NN,0.618860510805501
abbas,NN,0.618860510805501
abbed,VBD,0.01768172888015717
abbes,JJ,0.2180746561886051
abbey,NN,0.618860510805501
abbot,NN,0.618860510805501
abcee,NN,0.618860510805501
abeam,NN,0.618860510805501
abear,IN,0.009823182711198428
abele,JJ,0.2180746561886051
abers,NNS,0.007858546168958742
abets,NNS,0.007858546168958742
abhor,VBP,0.03143418467583497
abide,JJ,0.2180746561886051
abies,NNS,0.007858546168958742
abled,VBD,0.01768172888015717
abler,NN,0.618860510805501
ables,NNS,0.007858546168958742
ablet,VBP,0.03143418467583497
ablow,JJ,0.2180746561886051
abmho,NN,0.618860510805501
abode,NN,0.618860510805501
abohm,NN,0.618860510805501
aboil,NN,0.618860510805501
aboma,NN,0.618860510805501
aboon,NN,0.618860510805501
abord,NN,0.618860510805501
abore,IN,0.009823182711198428
abort,NN,0.618860510805501
about,IN,0.009823182711198428
above,IN,0.009823182711198428
abram,NN,0.618860510805501
abray,NN,0.618860510805501
abrim,JJ,0.2180746561886051
abrin,JJ,0.2180746561886051
abris,NN,0.618860510805501
absey,JJ,0.2180746561886051
absit,NN,0.618860510805501
abuna,NN,0.618860510805501
abune,NN,0.618860510805501
abuse,NN,0.618860510805501
abuts,VBZ,0.003929273084479371
abuzz,JJ,0.2180746561886051
abyes,NNS,0.007858546168958742
abysm,VBP,0.03143418467583497
abyss,JJ,0.2180746561886051
acais,NN,0.618860510805501
acari,NN,0.618860510805501
accas,NN,0.618860510805501
accoy,NN,0.618860510805501
acerb,NN,0.618860510805501
acers,NNS,0.007858546168958742
aceta,VBP,0.03143418467583497
achar,RB,0.023575638506876228
ached,VBN,0.0137524557956778
aches,NNS,0.007858546168958742
achoo,JJ,0.2180746561886051
acids,NNS,0.007858546168958742
acidy,IN,0.009823182711198428
