word,p
aahed,4.6292834809946724e-08
aalii,3.5945599760611737e-10
aargh,4.751211912790154e-09
aarti,1.3311099689161665e-08
abaca,2.6387736440369736e-08
abaci,1.2903350565807158e-08
aback,2.5934787345249787e-06
abacs,7.097528675892307e-11
abaft,1.051570677645941e-07
abaka,9.41373302920656e-10
abamp,1.438785542096088e-10
aband,1.1833127011584565e-08
abase,8.040301793243998e-08
abash,1.8893752429249845e-08
abask,8.041353694032694e-11
abate,6.82123379647237e-07
abaya,6.408245596389861e-08
abbas,3.428293808838134e-08
abbed,1.3898071749007812e-09
abbes,6.025737875337001e-09
abbey,1.87058906249149e-06
abbot,1.6597933267803455e-06
abcee,5.4018092776608737e-11
abeam,8.512230564861056e-08
abear,1.0398981231674043e-08
abele,2.2972796887010814e-09
abers,5.129371073719913e-10
abets,5.900776152145682e-08
abhor,4.893274649475643e-07
abide,3.940219926334976e-06
abies,8.729155176467884e-08
abled,1.2096714883114145e-07
abler,7.538493207448482e-08
ables,6.441823678926539e-08
ablet,8.532696743612788e-10
ablow,2.6360721938623044e-09
abmho,1.3359260468692736e-10
abode,2.6813567842509655e-06
abohm,2.586899423839828e-10
aboil,5.932519786533419e-09
aboma,4.846966508709194e-10
aboon,1.7096654003623256e-08
abord,1.0713411100482517e-07
abore,2.6264457497759962e-09
abort,7.333959104016686e-07
about,0.001405782112851739
above,0.0002015591991948895
abram,2.1287081564125286e-08
abray,3.099154530228354e-10
abrim,3.3751079486776804e-09
abrin,1.4668754211299984e-08
abris,4.131302611121157e-09
absey,3.9470717111411704e-10
absit,1.0084197521464944e-08
abuna,3.9808349394654385e-09
abune,1.2067402366255919e-08
abuse,3.250134523113957e-05
abuts,1.34984759370127e-07
abuzz,1.9007878080401496e-07
abyes,4.9787807210321945e-11
abysm,1.69874873279241e-08
abyss,2.71084777523356e-06
acais,1.0143791605299324e-10
acari,4.413059895291837e-09
accas,2.0951999857299342e-10
accoy,1.5107562076344117e-10
acerb,3.901785849969031e-09
acers,2.982335167711625e-09
aceta,1.2332104726286985e-09
achar,1.7394234053114133e-08
ached,4.323839175413014e-06
aches,1.549463149785879e-06
achoo,6.297959309620182e-09
acids,1.701345208857674e-05
acidy,8.673426243888117e-09
acing,3.550015392761452e-08
acini,1.3490911499047797e-07
ackee,2.577986446539171e-08
acker,1.177759072490403e-08
acmes,1.6814945491550048e-09
acmic,1.0641899861330018e-10
acned,7.289934478293958e-09
acnes,1.0392807965331486e-07
acock,1.0587096310743504e-09
acold,2.9415136104660177e-09
acorn,5.03946648677811e-07
acred,6.4856322978812385e-09
acres,9.807819606066914e-06
acrid,8.583059639022394e-07
acros,5.734464703088804e-09
acted,1.7154351917270104e-05
actin,2.0775908524228724e-06
acton,1.2603824739443325e-08
actor,1.563565147080226e-05
acute,2.8643688710872085e-05
acyls,3.6305010775450343e-09
adage,9.863396428499982e-07
adapt,1.0430006295791826e-05
adaws,5.076454152874721e-11
adays,1.2822589035010879e-08
adbot,7.314478397968394e-11
addax,6.834183019499563e-09
added,0.00010285379903507419
adder,5.602919742386803e-07
addio,1.28527238629772e-08
addle,5.1071171114358546e-08
adeem,2.1210100786817064e-09
adept,2.3919438717712183e-06
adhan,2.152346727513077e-08
adieu,5.158869015531309e-07
adios,4.03022436756828e-08
adits,2.3153567241251948e-08
adman,2.4269325749060046e-08
admen,1.4454751884329654e-08
admin,9.879956735403538e-07
admit,2.6587316460791045e-05
admix,1.1210681183371208e-08
adobe,7.436660666826356e-07
adobo,9.86897958910049e-08
adopt,1.7978922369366045e-05
adore,1.8210603229817934e-06
adorn,9.651842617586227e-07
adown,5.873173609671767e-08
adoze,5.092304855569552e-10
adrad,2.255590547672881e-09
adred,6.456098738949479e-10
adsum,4.1197719014007815e-09
aduki,6.7266423764422715e-09
adult,4.1451796278124675e-05
adunc,1.4302289526313405e-10
adust,9.782606458230702e-09
advew,3.7379002670867575e-12
adyta,2.4151356581292306e-09
